[parser] | 2020-03-03 15:00:28,964 | INFO | > Запуск парсинга LaTex формул
[parser] | 2020-03-03 15:00:28,993 | INFO | > Запись переменных
[parser] | 2020-03-03 15:01:20,112 | INFO | > Проверка наличия файла первоначальной конфигурации... [92mOK[0m
[parser] | 2020-03-03 15:01:20,974 | INFO | > Запуск парсера. Версия
[parser] | 2020-03-03 15:01:20,975 | INFO | > Запуск парсинга таблиц...
[parser] | 2020-03-03 15:01:21,486 | INFO | > [92mOK[0m
[parser] | 2020-03-03 15:01:21,486 | INFO | > Таблиц успешно спарсено: 22
[parser] | 2020-03-03 15:01:21,486 | INFO | > Запуск парсинга переменных...
[parser] | 2020-03-03 15:01:21,563 | INFO | > [92mOK[0m
[parser] | 2020-03-03 15:01:21,564 | INFO | > Переменных успешно спарсено: 284
[parser] | 2020-03-03 15:01:21,564 | INFO | > Запуск парсинга LaTex формул
[parser] | 2020-03-03 15:01:21,595 | INFO | > Запись переменных
[parser] | 2020-03-03 15:22:36,634 | INFO | > Проверка наличия файла первоначальной конфигурации... [92mOK[0m
[parser] | 2020-03-03 15:22:37,380 | INFO | > Запуск парсера. Версия
[parser] | 2020-03-03 15:22:37,380 | INFO | > Запуск парсинга таблиц...
[parser] | 2020-03-03 15:22:37,897 | INFO | > [92mOK[0m
[parser] | 2020-03-03 15:22:37,897 | INFO | > Таблиц успешно спарсено: 22
[parser] | 2020-03-03 15:22:37,897 | INFO | > Запуск парсинга переменных...
[parser] | 2020-03-03 15:22:37,970 | INFO | > [92mOK[0m
[parser] | 2020-03-03 15:22:37,970 | INFO | > Переменных успешно спарсено: 284
[parser] | 2020-03-03 15:22:37,970 | INFO | > Запуск парсинга LaTex формул
[parser] | 2020-03-03 15:22:38,005 | INFO | > Запись переменных
[parser] | 2020-03-04 14:55:24,772 | INFO | > Проверка наличия файла первоначальной конфигурации... [92mOK[0m
[parser] | 2020-03-04 14:55:25,533 | INFO | > Запуск парсера. Версия
[parser] | 2020-03-04 14:55:25,534 | INFO | > Запуск парсинга таблиц...
[parser] | 2020-03-04 14:55:26,061 | INFO | > [92mOK[0m
[parser] | 2020-03-04 14:55:26,061 | INFO | > Таблиц успешно спарсено: 22
[parser] | 2020-03-04 14:55:26,061 | INFO | > Запуск парсинга переменных...
[parser] | 2020-03-04 14:55:26,136 | INFO | > [92mOK[0m
[parser] | 2020-03-04 14:55:26,136 | INFO | > Переменных успешно спарсено: 285
[parser] | 2020-03-04 14:55:26,137 | INFO | > Запуск парсинга LaTex формул
[parser] | 2020-03-04 14:55:26,167 | INFO | > Запись переменных
[parser] | 2020-03-04 15:00:25,078 | INFO | > Проверка наличия файла первоначальной конфигурации... [92mOK[0m
[parser] | 2020-03-04 15:00:25,866 | INFO | > Запуск парсера. Версия
[parser] | 2020-03-04 15:00:25,867 | INFO | > Запуск парсинга таблиц...
[parser] | 2020-03-04 15:00:26,392 | INFO | > [92mOK[0m
[parser] | 2020-03-04 15:00:26,392 | INFO | > Таблиц успешно спарсено: 22
[parser] | 2020-03-04 15:00:26,392 | INFO | > Запуск парсинга переменных...
[parser] | 2020-03-04 15:00:26,472 | INFO | > [92mOK[0m
[parser] | 2020-03-04 15:00:26,472 | INFO | > Переменных успешно спарсено: 285
[parser] | 2020-03-04 15:00:26,472 | INFO | > Запуск парсинга LaTex формул
[parser] | 2020-03-04 15:00:26,503 | INFO | > Запись переменных
[parser] | 2020-03-04 15:03:02,251 | INFO | > Проверка наличия файла первоначальной конфигурации... [92mOK[0m
[parser] | 2020-03-04 15:03:03,017 | INFO | > Запуск парсера. Версия
[parser] | 2020-03-04 15:03:03,017 | INFO | > Запуск парсинга таблиц...
[parser] | 2020-03-04 15:03:03,520 | INFO | > [92mOK[0m
